#Resampling
#Console: python /store/home/mad/anaconda2/envs/python3/bin/transit resampling 2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig 2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table /quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/Results/result_resampling_carey_663_vs_carey_rv_LOESS.txt -l
#Control Data: b'2018_Carey_A-H/Rv_1.wig,2018_Carey_A-H/Rv_2.wig,2018_Carey_A-H/Rv_3.wig'
#Experimental Data: b'2018_Carey_A-H/663_1.wig,2018_Carey_A-H/663_2.wig'
#Annotation path: b'/quartz/data/TnSeq/tnseq_matrix_project/tuberculosis/H37Rv.prot_table' 
#Time: 2109.9459793567657
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	Sum Ctrl	Sum Exp	Delta Mean	p-value	Adj. p-value
Rv3219	whiB1	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB1 	4	1.5	9.1	2.58	18.3	72.95	7.6	0.04970	0.44552
Rv3220c	-	PROBABLE TWO COMPONENT SENSOR KINASE 	21	79.8	82.7	0.05	5027.0	3472.73	2.9	0.87880	1.00000
Rv3221A	-	POSSIBLE ANTI-SIGMA FACTOR 	2	1.2	2.4	0.99	7.3	9.67	1.2	0.90180	1.00000
Rv3221c	TB7.3	hypothetical protein Rv3221c 	2	1.3	0.0	-1.18	7.6	0.00	-1.3	1.00000	1.00000
Rv3222c	-	hypothetical protein Rv3222c 	7	2.5	9.9	1.99	52.3	138.49	7.4	0.03500	0.36367
Rv3223c	sigH	RNA polymerase sigma factor RpoE 	15	179.5	95.7	-0.91	8076.5	2871.08	-83.8	0.06830	0.51108
Rv3224	-	short chain dehydrogenase 	16	304.8	250.6	-0.28	14628.6	8020.09	-54.1	0.42840	0.91614
Rv3224A	-	hypothetical protein Rv3224A 	3	76.0	38.6	-0.98	683.7	231.58	-37.4	0.29920	0.88027
Rv3224B	-	hypothetical protein Rv3224B 	3	30.2	48.5	0.68	272.1	291.11	18.3	0.38540	0.90731
Rv3225c	-	POSSIBLE TRANSFERASE 	28	159.1	164.6	0.05	13364.8	9216.90	5.5	0.87130	1.00000
Rv3226c	-	hypothetical protein Rv3226c 	6	227.4	340.9	0.58	4093.0	4091.21	113.5	0.14610	0.70459
Rv3227	aroA	3-phosphoshikimate 1-carboxyvinyltransferase 	8	2.3	8.2	1.82	55.6	130.45	5.8	0.01090	0.18827
Rv3228	-	hypothetical protein Rv3228 	9	37.4	40.8	0.13	1008.9	733.52	3.4	0.86890	1.00000
Rv3229c	-	POSSIBLE LINOLEOYL-CoA DESATURASE (DELTA(6)-DESATURASE) 	24	123.7	94.7	-0.39	8906.4	4544.73	-29.0	0.15130	0.70459
Rv3230c	-	HYPOTHETICAL OXIDOREDUCTASE 	16	102.9	107.4	0.06	4940.6	3436.47	4.5	0.86890	1.00000
Rv3231c	-	hypothetical protein Rv3231c 	6	369.8	214.9	-0.78	6656.8	2578.41	-155.0	0.15740	0.70459
Rv3232c	pvdS	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN PVDS (PROBABLE RNA POLYMERASE SIGMA FACTOR) 	24	386.2	451.7	0.23	27809.8	21681.72	65.5	0.40020	0.90731
Rv3233c	-	hypothetical protein Rv3233c 	12	330.5	280.9	-0.23	11899.0	6742.05	-49.6	0.52660	0.95052
Rv3234c	-	hypothetical protein Rv3234c 	18	286.7	267.2	-0.10	15480.2	9618.99	-19.5	0.82060	1.00000
Rv3235	-	HYPOTHETICAL ALANINE ARGININE PROLINE RICH PROTEIN 	6	122.6	145.6	0.25	2207.0	1747.76	23.0	0.76750	0.99595
Rv3236c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 	14	126.1	228.6	0.86	5294.9	6400.10	102.5	0.10940	0.65799
Rv3237c	-	hypothetical protein Rv3237c 	9	156.5	358.8	1.20	4224.9	6457.96	202.3	0.04630	0.42955
Rv3238c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	22	349.9	313.4	-0.16	23094.3	13791.72	-36.5	0.68690	0.98723
Rv3239c	-	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN 	56	288.0	321.7	0.16	48386.4	36029.06	33.7	0.45850	0.92394
Rv3240c	secA1	preprotein translocase subunit SecA 	46	14.3	22.3	0.65	1967.4	2055.45	8.1	0.07830	0.55491
Rv3241c	-	hypothetical protein Rv3241c 	12	316.6	238.2	-0.41	11398.7	5717.68	-78.4	0.20620	0.78395
Rv3242c	-	hypothetical protein Rv3242c 	4	76.1	119.8	0.65	913.4	958.04	43.6	0.64200	0.98025
Rv3243c	-	hypothetical protein Rv3243c 	4	124.1	121.6	-0.03	1489.4	972.62	-2.5	0.97590	1.00000
Rv3244c	lpqB	PROBABLE CONSERVED LIPOPROTEIN LPQB 	21	4.5	13.9	1.64	282.8	585.69	9.5	0.00000	0.00000
Rv3245c	mtrB	TWO COMPONENT SENSORY TRANSDUCTION HISTIDINE KINASE MTRB 	20	6.8	19.4	1.51	408.2	775.09	12.6	0.00000	0.00000
Rv3246c	mtrA	TWO COMPONENT SENSORY TRANSDUCTION TRANSCRIPTIONAL REGULATORY PROTEIN MTRA 	11	5.7	23.0	2.02	187.0	505.41	17.3	0.00000	0.00000
Rv3247c	tmk	thymidylate kinase 	10	6.2	18.1	1.55	185.7	362.45	11.9	0.00020	0.00775
Rv3248c	sahH	S-adenosyl-L-homocysteine hydrolase 	24	8.1	15.5	0.93	586.0	742.87	7.3	0.04330	0.41037
Rv3249c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 	13	82.8	93.8	0.18	3228.2	2439.52	11.1	0.64470	0.98206
Rv3250c	rubB	PROBABLE RUBREDOXIN RUBB 	3	164.8	407.3	1.31	1482.8	2444.05	242.6	0.08550	0.58315
Rv3251c	rubA	PROBABLE RUBREDOXIN RUBA 	4	279.8	185.6	-0.59	3357.4	1485.17	-94.1	0.62070	0.97682
Rv3252c	alkB	PROBABLE TRANSMEMBRANE ALKANE 1-MONOOXYGENASE ALKB (ALKANE 1-HYDROXYLASE) (LAURIC ACID OMEGA-HYDROXYLASE) (OMEGA-HYDROXYLASE) (FATTY ACID OMEGA-HYDROXYLASE) (ALKANE HYDROXYLASE-RUBREDOXIN) 	31	320.8	312.0	-0.04	29830.3	19342.37	-8.8	0.89660	1.00000
Rv3253c	-	POSSIBLE CATIONIC AMINO ACID TRANSPORT INTEGRAL MEMBRANE PROTEIN 	25	225.9	173.3	-0.38	16939.6	8666.18	-52.5	0.29040	0.87449
Rv3254	-	hypothetical protein Rv3254 	20	222.5	204.8	-0.12	13349.0	8192.40	-17.7	0.73530	0.99595
Rv3255c	manA	PROBABLE MANNOSE-6-PHOSPHATE ISOMERASE MANA (PHOSPHOMANNOSE ISOMERASE) (PHOSPHOMANNOISOMERASE) (PMI) (PHOSPHOHEXOISOMERASE) (PHOSPHOHEXOMUTASE) 	21	4.7	12.9	1.47	293.8	541.91	8.2	0.00010	0.00416
Rv3256c	-	hypothetical protein Rv3256c 	9	26.2	33.9	0.37	707.0	611.01	7.8	0.54360	0.95387
Rv3257c	manB	phosphomannomutase/phosphoglucomutase 	24	6.1	18.9	1.64	438.5	909.55	12.9	0.00000	0.00000
Rv3258c	-	hypothetical protein Rv3258c 	5	24.6	39.6	0.69	368.6	396.21	15.0	0.40220	0.90731
Rv3259	-	hypothetical protein Rv3259 	2	305.6	129.5	-1.24	1833.3	517.93	-176.1	0.04640	0.42955
Rv3260c	whiB2	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB2 	2	1.2	13.9	3.51	7.3	55.55	12.7	0.00270	0.06950
Rv3261	fbiA	PROBABLE F420 BIOSYNTHESIS PROTEIN FBIA 	14	79.3	60.1	-0.40	3331.6	1683.98	-19.2	0.54750	0.95387
Rv3262	fbiB	F420-0--gamma-glutamyl ligase 	13	47.4	36.6	-0.37	1848.9	951.67	-10.8	0.60930	0.97425
Rv3263	-	PROBABLE DNA METHYLASE (MODIFICATION METHYLASE) (METHYLTRANSFERASE) 	29	210.4	243.5	0.21	18307.2	14125.15	33.1	0.56590	0.95980
Rv3264c	manB	D-ALPHA-D-MANNOSE-1-PHOSPHATE GUANYLYLTRANSFERASE MANB (D-ALPHA-D-HEPTOSE-1-PHOSPHATE GUANYLYLTRANSFERASE) 	17	8.2	23.3	1.51	416.6	791.94	15.1	0.00050	0.01663
Rv3265c	wbbL1	PROBABLE dTDP-RHA:A-D-GlcNAc-DIPHOSPHORYL POLYPRENOL, A-3-L-RHAMNOSYL TRANSFERASE WBBL1 (ALPHA-L-RHAMNOSE-(1->3)-ALPHA-D-GlcNAc(1->P)-P-DECAPRENY L) 	17	8.1	17.8	1.14	412.1	606.83	9.8	0.00560	0.11949
Rv3266c	rmlD	dTDP-6-DEOXY-L-LYXO-4-HEXULOSE REDUCTASE RMLD (dTDP-RHAMNOSE MODIFICATION PROTEIN) (dTDP-RHAMNOSE BIOSYNTHESIS PROTEIN) (dTDP-RHAMNOSE SYNTHASE) 	17	3.0	8.6	1.53	152.7	293.64	5.6	0.00030	0.01078
Rv3267	-	CONSERVED HYPOTHETICAL PROTEIN (CPSA-RELATED PROTEIN) 	23	32.7	33.7	0.04	2255.5	1551.08	1.0	0.92610	1.00000
Rv3268	-	hypothetical protein Rv3268 	13	215.3	207.7	-0.05	8396.8	5399.26	-7.6	0.91340	1.00000
Rv3269	-	hypothetical protein Rv3269 	5	90.4	38.3	-1.24	1356.7	382.60	-52.2	0.34920	0.90731
Rv3270	ctpC	PROBABLE METAL CATION-TRANSPORTING P-TYPE ATPASE C CTPC 	17	80.0	34.8	-1.20	4079.9	1182.08	-45.2	0.05200	0.45203
Rv3271c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	6	11.2	32.6	1.54	201.8	391.47	21.4	0.00810	0.15464
Rv3272	-	hypothetical protein Rv3272 	19	172.3	217.9	0.34	9823.0	8280.54	45.6	0.37970	0.90731
Rv3273	-	PROBABLE TRANSMEMBRANE CARBONIC ANHYDRASE (CARBONATE DEHYDRATASE) (CARBONIC DEHYDRATASE) 	31	142.5	111.5	-0.35	13256.7	6915.65	-31.0	0.31860	0.89196
Rv3274c	fadE25	PROBABLE ACYL-CoA DEHYDROGENASE FADE25 	19	22.4	25.2	0.17	1277.8	959.36	2.8	0.62260	0.97682
Rv3275c	purE	phosphoribosylaminoimidazole carboxylase catalytic subunit 	7	8.3	10.6	0.37	173.3	149.10	2.4	0.77020	0.99595
Rv3276c	purK	phosphoribosylaminoimidazole carboxylase ATPase subunit 	10	5.7	24.0	2.08	170.5	479.76	18.3	0.00410	0.09348
Rv3277	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	13	19.1	32.1	0.75	744.5	835.42	13.0	0.16820	0.71727
Rv3278c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	8	203.2	203.4	0.00	4876.7	3254.12	0.2	0.99820	1.00000
Rv3279c	birA	biotin--protein ligase 	6	2.1	7.1	1.78	37.3	85.12	5.0	0.11170	0.66264
Rv3280	accD5	PROBABLE PROPIONYL-CoA CARBOXYLASE BETA CHAIN 5 ACCD5 (PCCASE) (PROPANOYL-COA:CARBON DIOXIDE LIGASE) 	32	4.2	11.4	1.44	405.3	730.74	7.2	0.00000	0.00000
Rv3281	-	hypothetical protein Rv3281 	3	2.1	11.8	2.52	18.5	70.77	9.7	0.01590	0.24590
Rv3282	maf	Maf-like protein 	11	42.7	35.0	-0.29	1409.0	768.92	-7.7	0.74080	0.99595
Rv3283	sseA	PROBABLE THIOSULFATE SULFURTRANSFERASE SSEA (RHODANESE) (THIOSULFATE CYANIDE TRANSSULFURASE) (THIOSULFATE THIOTRANSFERASE) 	20	254.3	267.4	0.07	15255.5	10695.58	13.1	0.79190	0.99955
Rv3284	-	hypothetical protein Rv3284 	5	33.7	44.7	0.40	506.2	446.74	10.9	0.60960	0.97425
Rv3285	accA3	PROBABLE BIFUNCTIONAL PROTEIN ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE (ALPHA CHAIN) ACCA3: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP) 	26	5.1	18.7	1.87	399.4	970.55	13.5	0.00000	0.00000
Rv3286c	sigF	RNA polymerase sigma factor SigF 	11	146.4	122.1	-0.26	4832.4	2687.01	-24.3	0.56320	0.95974
Rv3287c	rsbW	ANTI-SIGMA FACTOR RSBW (SIGMA NEGATIVE EFFECTOR) 	3	182.7	114.7	-0.67	1644.6	687.92	-68.1	0.38590	0.90731
Rv3288c	usfY	PUTATIVE PROTEIN USFY 	10	207.9	273.3	0.39	6238.3	5466.21	65.4	0.30290	0.88182
Rv3289c	-	POSSIBLE TRANSMEMBRANE PROTEIN 	7	248.5	470.1	0.92	5218.3	6581.40	221.6	0.09950	0.63117
Rv3290c	lat	L-lysine aminotransferase 	25	275.0	306.7	0.16	20627.3	15334.44	31.7	0.62900	0.97682
Rv3291c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ASNC-FAMILY) 	11	156.2	108.7	-0.52	5153.6	2390.34	-47.5	0.40840	0.90781
Rv3292	-	hypothetical protein Rv3292 	20	109.6	130.3	0.25	6574.5	5210.70	20.7	0.54590	0.95387
Rv3293	pcd	PROBABLE PIPERIDEINE-6-CARBOXILIC ACID DEHYDROGENASE PCD (PIPERIDEINE-6-CARBOXYLATE DEHYDROGENASE) 	16	173.1	237.6	0.46	8309.7	7603.76	64.5	0.40480	0.90731
Rv3294c	-	hypothetical protein Rv3294c 	20	232.8	296.8	0.35	13970.5	11873.30	64.0	0.26080	0.83681
Rv3295	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) 	12	435.9	500.4	0.20	15692.3	12010.01	64.5	0.66740	0.98519
Rv3296	lhr	PROBABLE ATP-DEPENDENT HELICASE LHR (LARGE HELICASE-RELATED PROTEIN) 	55	192.2	257.8	0.42	31706.2	28356.49	65.6	0.25070	0.82857
Rv3297	nei	PROBABLE ENDONUCLEASE VIII NEI 	10	170.9	186.9	0.13	5126.9	3737.78	16.0	0.78090	0.99737
Rv3298c	lpqC	POSSIBLE ESTERASE LIPOPROTEIN LPQC 	12	218.9	330.7	0.60	7880.5	7935.88	111.8	0.41450	0.91016
Rv3299c	atsB	PROBABLE ARYLSULFATASE ATSB (ARYL-SULFATE SULPHOHYDROLASE) (SULFATASE) 	46	109.0	104.7	-0.06	15042.7	9635.70	-4.3	0.87040	1.00000
Rv3300c	-	hypothetical protein Rv3300c 	11	92.4	61.2	-0.59	3047.6	1347.31	-31.1	0.58380	0.96774
Rv3301c	phoY1	PROBABLE PHOSPHATE-TRANSPORT SYSTEM TRANSCRIPTIONAL REGULATORY PROTEIN PHOU HOMOLOG 1 PHOY1 	10	67.9	122.8	0.86	2037.4	2456.88	54.9	0.24810	0.82769
Rv3302c	glpD2	PROBABLE GLYCEROL-3-PHOSPHATE DEHYDROGENASE GLPD2 	28	0.9	4.9	2.47	74.6	275.48	4.0	0.00000	0.00000
Rv3303c	lpdA	flavoprotein disulfide reductase 	22	33.6	105.6	1.65	2219.6	4648.28	72.0	0.01150	0.19526
Rv3304	-	hypothetical protein Rv3304 	11	31.0	77.3	1.32	1022.0	1701.44	46.4	0.00610	0.12743
Rv3305c	amiA1	POSSIBLE N-ACYL-L-AMINO ACID AMIDOHYDROLASE AMIA1 (N-ACYL-L-AMINO ACID AMINOHYDROLASE) 	20	38.6	45.3	0.23	2313.5	1811.80	6.7	0.62880	0.97682
Rv3306c	amiB1	PROBABLE AMIDOHYDROLASE AMIB1 (AMINOHYDROLASE) 	15	40.1	70.3	0.81	1805.6	2108.88	30.2	0.14620	0.70459
Rv3307	deoD	purine nucleoside phosphorylase 	11	123.9	340.9	1.46	4087.3	7500.49	217.1	0.03050	0.34088
Rv3308	pmmB	PROBABLE PHOSPHOMANNOMUTASE PMMB (PHOSPHOMANNOSE MUTASE) 	20	104.5	100.1	-0.06	6272.3	4003.16	-4.5	0.88760	1.00000
Rv3309c	upp	uracil phosphoribosyltransferase 	8	131.5	252.9	0.94	3155.9	4045.95	121.4	0.20250	0.77915
Rv3310	-	POSSIBLE ACID PHOSPHATASE (ACID PHOSPHOMONOESTERASE) (PHOSPHOMONOESTERASE) (GLYCEROPHOSPHATASE) 	17	155.3	146.1	-0.09	7922.3	4968.99	-9.2	0.82570	1.00000
Rv3311	-	hypothetical protein Rv3311 	16	130.3	151.6	0.22	6256.3	4852.47	21.3	0.50780	0.94344
Rv3312A	-	SECRETED PROTEIN ANTIGEN 	5	265.4	171.5	-0.63	3981.2	1714.69	-93.9	0.30610	0.88247
Rv3312c	-	hypothetical protein Rv3312c 	17	267.8	291.9	0.12	13659.1	9924.75	24.1	0.79940	0.99955
Rv3313c	add	adenosine deaminase 	12	43.9	58.4	0.41	1580.9	1400.92	14.5	0.55230	0.95550
Rv3314c	deoA	thymidine phosphorylase 	12	119.5	118.1	-0.02	4300.9	2834.54	-1.4	0.97280	1.00000
Rv3315c	cdd	cytidine deaminase 	5	96.2	108.3	0.17	1442.8	1082.76	12.1	0.73120	0.99595
Rv3316	sdhC	PROBABLE SUCCINATE DEHYDROGENASE (CYTOCHROME B-556 SUBUNIT) SDHC (SUCCINIC DEHYDROGENASE) (FUMARATE REDUCTASE) (FUMARATE DEHYDROGENASE) (FUMARIC HYDROGENASE) 	6	169.6	152.2	-0.16	3053.4	1826.77	-17.4	0.83350	1.00000
Rv3317	sdhD	PROBABLE SUCCINATE DEHYDROGENASE (HYDROPHOBIC MEMBRANE ANCHOR SUBUNIT) SDHD (SUCCINIC DEHYDROGENASE) (FUMARATE REDUCTASE) (FUMARATE DEHYDROGENASE) (FUMARIC HYDROGENASE) 	4	157.3	125.0	-0.33	1887.1	999.87	-32.3	0.77600	0.99724
Rv3318	sdhA	succinate dehydrogenase flavoprotein subunit 	31	81.4	88.7	0.12	7571.1	5498.23	7.3	0.71900	0.99595
Rv3319	sdhB	succinate dehydrogenase iron-sulfur subunit 	8	137.1	65.5	-1.06	3289.3	1048.61	-71.5	0.17290	0.72314
Rv3320c	-	hypothetical protein Rv3320c 	5	132.9	69.3	-0.94	1993.6	693.23	-63.6	0.36690	0.90731
Rv3321c	-	hypothetical protein Rv3321c 	3	397.0	432.8	0.12	3573.0	2596.71	35.8	0.88630	1.00000
Rv3322c	-	POSSIBLE METHYLTRANSFERASE 	7	118.9	214.6	0.85	2496.0	3004.06	95.7	0.14410	0.70459
Rv3323c	moaX	PROBABLE MOAD-MOAE FUSION PROTEIN MOAX 	15	224.6	312.0	0.47	10107.9	9359.77	87.4	0.25360	0.83106
Rv3324c	moaC	molybdenum cofactor biosynthesis protein C 	10	194.8	550.2	1.50	5842.5	11004.34	355.5	0.00910	0.16656
Rv3325	-	PROBABLE TRANSPOSASE 	4	220.4	23.9	-3.20	2644.5	191.21	-196.5	0.02520	0.30286
Rv3326	-	PROBABLE TRANSPOSASE 	25	185.6	21.6	-3.10	13918.7	1081.84	-163.9	0.00000	0.00000
Rv3327	-	PROBABLE TRANSPOSASE FUSION PROTEIN 	20	187.4	276.4	0.56	11244.7	11057.84	89.0	0.06600	0.49856
Rv3328c	sigJ	RNA polymerase sigma factor SigJ 	12	108.9	187.2	0.78	3922.1	4492.37	78.2	0.34620	0.90731
Rv3329	-	hypothetical protein Rv3329 	21	168.4	223.9	0.41	10607.1	9401.78	55.5	0.23760	0.81579
Rv3330	dacB1	PROBABLE PENICILLIN-BINDING PROTEIN DACB1 (D-ALANYL-D-ALANINE CARBOXYPEPTIDASE) (DD-PEPTIDASE) (DD-CARBOXYPEPTIDASE) (PBP) (DD-TRANSPEPTIDASE) (SERINE-TYPE D-ALA-D-ALA CARBOXYPEPTIDASE) (D-AMINO ACID HYDROLASE) 	19	163.4	197.4	0.27	9315.6	7502.85	34.0	0.48560	0.93828
Rv3331	sugI	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN SUGI 	25	187.3	389.8	1.06	14051.1	19488.27	202.4	0.02430	0.30111
Rv3332	nagA	PROBABLE N-ACETYLGLUCOSAMINE-6-PHOSPHATE DEACETYLASE NAGA (GLCNAC 6-P DEACETYLASE) 	6	33.1	122.3	1.89	594.9	1467.41	89.2	0.01960	0.27154
Rv3333c	-	HYPOTHETICAL PROLINE RICH PROTEIN 	12	173.3	264.4	0.61	6239.8	6345.38	91.1	0.26640	0.84629
Rv3334	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MERR-FAMILY) 	9	163.1	161.2	-0.02	4404.3	2901.56	-1.9	0.97530	1.00000
Rv3335c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	11	101.4	120.5	0.25	3347.8	2651.49	19.1	0.62310	0.97682
Rv3336c	trpS	tryptophanyl-tRNA synthetase 	15	3.2	7.2	1.16	143.7	214.77	4.0	0.14600	0.70459
Rv3337	-	hypothetical protein Rv3337 	9	178.0	160.7	-0.15	4805.7	2892.66	-17.3	0.81440	1.00000
Rv3338	-	hypothetical protein Rv3338 	4	90.2	107.9	0.26	1082.8	862.88	17.6	0.76420	0.99595
Rv3339c	icd1	isocitrate dehydrogenase 	26	119.9	154.7	0.37	9355.4	8043.49	34.7	0.24950	0.82857
Rv3340	metC	O-acetylhomoserine aminocarboxypropyltransferase 	17	199.0	95.2	-1.06	10151.5	3238.05	-103.8	0.00790	0.15228
Rv3341	metX	homoserine O-acetyltransferase 	15	51.1	4.1	-3.64	2299.7	122.57	-47.0	0.00200	0.05356
Rv3342	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 	9	67.1	44.8	-0.58	1812.1	807.18	-22.3	0.37140	0.90731
Rv3343c	PPE54	PPE FAMILY PROTEIN 	156	154.8	175.7	0.18	72466.7	54831.16	20.9	0.33740	0.90731
Rv3344c	PE_PGRS49	PE-PGRS FAMILY PROTEIN 	6	114.4	215.6	0.91	2059.3	2586.72	101.2	0.40410	0.90731
Rv3345c	PE_PGRS50	PE-PGRS FAMILY PROTEIN 	47	85.8	130.1	0.60	12102.9	12224.97	44.2	0.04770	0.43552
Rv3346c	-	hypothetical protein Rv3346c 	3	563.1	882.7	0.65	5067.7	5296.13	319.6	0.52880	0.95052
Rv3347c	PPE55	PPE FAMILY PROTEIN 	120	272.5	343.8	0.34	98098.4	82507.28	71.3	0.01830	0.26265
Rv3348	-	PROBABLE TRANSPOSASE 	3	93.7	42.3	-1.15	843.4	253.61	-51.4	0.30280	0.88182
Rv3349c	-	PROBABLE TRANSPOSASE 	3	210.7	229.2	0.12	1896.6	1374.98	18.4	0.83000	1.00000
Rv3350c	PPE56	PPE FAMILY PROTEIN 	129	244.3	282.8	0.21	94547.5	72952.16	38.5	0.17550	0.72942
Rv3351c	-	hypothetical protein Rv3351c 	15	412.5	420.8	0.03	18562.4	12622.88	8.3	0.93240	1.00000
Rv3352c	-	POSSIBLE OXIDOREDUCTASE 	2	275.3	338.9	0.30	1652.0	1355.75	63.6	0.73570	0.99595
Rv3353c	-	hypothetical protein Rv3353c 	3	120.8	273.6	1.18	1087.5	1641.57	152.8	0.06980	0.51937
Rv3354	-	hypothetical protein Rv3354 	6	362.1	547.4	0.60	6517.2	6569.02	185.4	0.33920	0.90731
Rv3355c	-	hypothetical protein Rv3355c 	4	52.1	91.7	0.81	625.5	733.52	39.6	0.55750	0.95602
Rv3356c	folD	PROBABLE BIFUNCTIONAL PROTEIN FOLD: METHYLENETETRAHYDROFOLATE DEHYDROGENASE + METHENYLTETRAHYDROFOLATE CYCLOHYDROLASE 	9	3.6	10.6	1.56	97.1	190.75	7.0	0.01980	0.27336
Rv3357	-	hypothetical protein Rv3357 	5	214.3	186.5	-0.20	3214.0	1865.36	-27.7	0.70410	0.99411
Rv3358	-	hypothetical protein Rv3358 	4	208.0	111.9	-0.89	2496.3	895.21	-96.1	0.43090	0.91696
Rv3359	-	POSSIBLE OXIDOREDUCTASE 	18	228.1	403.5	0.82	12317.2	14527.46	175.4	0.06860	0.51161
Rv3360	-	hypothetical protein Rv3360 	2	262.5	516.4	0.98	1574.9	2065.63	253.9	0.02200	0.28593
Rv3361c	-	hypothetical protein Rv3361c 	5	34.8	32.3	-0.11	522.5	323.28	-2.5	0.91290	1.00000
Rv3362c	-	PROBABLE ATP/GTP-BINDING PROTEIN 	7	83.2	106.9	0.36	1746.8	1496.09	23.7	0.70540	0.99454
Rv3363c	-	hypothetical protein Rv3363c 	8	155.2	138.7	-0.16	3724.8	2218.90	-16.5	0.77340	0.99634
Rv3364c	-	hypothetical protein Rv3364c 	4	88.9	110.7	0.32	1066.7	885.70	21.8	0.74930	0.99595
Rv3365c	-	hypothetical protein Rv3365c 	33	122.6	158.7	0.37	12140.3	10472.14	36.0	0.30850	0.88555
Rv3366	spoU	PROBABLE tRNA/rRNA METHYLASE SPOU (tRNA/rRNA METHYLTRANSFERASE) 	6	126.2	158.0	0.32	2271.9	1896.44	31.8	0.62030	0.97682
Rv3367	PE_PGRS51	PE-PGRS FAMILY PROTEIN 	23	92.7	115.6	0.32	6395.4	5317.53	22.9	0.36450	0.90731
Rv3368c	-	POSSIBLE OXIDOREDUCTASE 	8	167.4	186.7	0.16	4016.7	2987.65	19.4	0.71900	0.99595
Rv3369	-	hypothetical protein Rv3369 	7	168.0	105.6	-0.67	3527.5	1478.63	-62.4	0.33380	0.90561
Rv3370c	dnaE2	error-prone DNA polymerase 	35	83.7	83.3	-0.01	8783.8	5828.38	-0.4	0.98420	1.00000
Rv3371	-	hypothetical protein Rv3371 	23	27.2	38.8	0.51	1878.8	1784.20	11.6	0.29300	0.87636
Rv3372	otsB2	POSSIBLE TREHALOSE 6-PHOSPHATE PHOSPHATASE OTSB2 (TREHALOSE-PHOSPHATASE) (TPP) 	9	1.8	5.5	1.62	48.5	99.59	3.7	0.14340	0.70459
Rv3373	echA18	PROBABLE ENOYL-CoA HYDRATASE ECHA18 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE) 	3	110.4	132.0	0.26	994.0	791.80	21.5	0.68980	0.98861
Rv3374	echA18.1	PROBABLE ENOYL-CoA HYDRATASE (FRAGMENT) ECHA18.1 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE) 	2	88.1	33.6	-1.39	528.8	134.40	-54.5	0.23720	0.81579
Rv3375	amiD	PROBABLE AMIDASE AMID (ACYLAMIDASE) (ACYLASE) 	22	40.4	38.5	-0.07	2665.4	1694.97	-1.9	0.86740	1.00000
Rv3376	-	hypothetical protein Rv3376 	9	133.7	123.1	-0.12	3609.4	2215.79	-10.6	0.85230	1.00000
Rv3377c	-	POSSIBLE CYCLASE 	59	76.6	85.1	0.15	13550.5	10046.51	8.6	0.67400	0.98519
Rv3378c	-	hypothetical protein Rv3378c 	40	21.6	18.6	-0.22	2594.6	1485.81	-3.0	0.81600	1.00000
Rv3379c	dxs2	1-deoxy-D-xylulose-5-phosphate synthase 	34	78.8	102.9	0.39	8033.6	6994.25	24.1	0.30540	0.88247
Rv3380c	-	PROBABLE TRANSPOSASE 	23	190.3	22.4	-3.09	13128.6	1031.39	-167.8	0.00000	0.00000
Rv3381c	-	PROBABLE TRANSPOSASE 	4	211.2	32.8	-2.69	2534.1	262.42	-178.4	0.03370	0.35478
