"","Orf","Name","Desc","Sites","Sites_Hit","B6","B6_pval","B6_Qval","DBA","DBA_pval","DBA_Qval","BXD9","BXD9_pval","BXD9_Qval","BXD29","BXD29_pval","BXD29_Qval","BXD39","BXD39_pval","BXD39_Qval","BXD40","BXD40_pval","BXD40_Qval","BXD48a","BXD48a_pval","BXD48a_Qval","BXD51","BXD51_pval","BXD51_Qval","BXD54","BXD54_pval","BXD54_Qval","BXD56","BXD56_pval","BXD56_Qval","BXD60","BXD60_pval","BXD60_Qval","BXD62","BXD62_pval","BXD62_Qval","BXD67","BXD67_pval","BXD67_Qval","BXD69","BXD69_pval","BXD69_Qval","BXD73","BXD73_pval","BXD73_Qval","BXD73b","BXD73b_pval","BXD73b_Qval","BXD77","BXD77_pval","BXD77_Qval","BXD79","BXD79_pval","BXD79_Qval","BXD90","BXD90_pval","BXD90_Qval","BXD93","BXD93_pval","BXD93_Qval","BXD102","BXD102_pval","BXD102_Qval"
"3193","Rv3143","-","PROBABLE RESPONSE REGULATOR ",5,4,-0.04,0.9524,1,-0.33,0.5817,0.99641,1.09,0.1163,0.80143,0.23,0.6795,1,0.23,0.6708,1,0.55,0.3204,1,-0.36,0.656,1,0.17,0.8122,1,0.54,0.2758,1,0.34,0.4774,1,-0.11,0.8695,1,0.41,0.5304,0.9627,-0.04,0.9463,1,-0.1,0.8576,1,0.38,0.5509,1,0.92,0.2593,0.94576,-0.33,0.566,1,0.19,0.7159,1,-0.3,0.6073,1,0.33,0.5102,1,-0.16,0.7933,1
"3194","Rv3144c","PPE52","PPE-FAMILY PROTEIN ",17,14,0.2,0.5477,1,-0.45,0.233,0.79054,0.13,0.6743,1,-0.33,0.3363,1,-0.06,0.8473,1,-0.37,0.3039,1,-0.72,0.1443,1,-0.13,0.7606,1,-0.16,0.6321,1,-0.09,0.7818,1,-0.12,0.7369,1,-0.15,0.6659,1,-0.46,0.1929,0.9756,-0.18,0.6138,1,-0.01,0.9678,1,0.25,0.4788,1,-0.47,0.187,1,-0.23,0.4686,1,-0.53,0.1382,1,-0.54,0.1626,0.79702,-0.03,0.9358,1
"3195","Rv3145","nuoA","NADH dehydrogenase subunit A ",12,10,0.26,0.4251,1,0.57,0.0682,0.48334,0.47,0.1473,0.89036,0.62,0.0339,0.53675,0.51,0.071,0.58531,0.38,0.2151,1,0.6,0.1123,1,0.35,0.3683,1,0.6,0.0572,0.66232,0.51,0.1061,0.77293,0.45,0.1465,0.91764,0.84,0.0073,0.13423,1.02,0.0013,0.0459,0.52,0.0925,0.81113,0.56,0.0647,0.7211,0.62,0.0445,0.49458,0.35,0.2701,1,0.64,0.0304,0.47567,0.41,0.1723,1,0.64,0.05,0.50126,0.64,0.0416,0.5076
"3196","Rv3146","nuoB","NADH dehydrogenase subunit B ",9,7,-0.25,0.5,1,0.62,0.0612,0.45462,0.61,0.0773,0.68461,0.71,0.0216,0.39716,0.51,0.1191,0.67711,0.43,0.1963,1,0.69,0.0891,1,0.51,0.1987,1,0.28,0.4129,1,0.37,0.2502,1,0.41,0.2692,1,0.73,0.03,0.32177,-0.03,0.9468,1,0.5,0.1114,0.87311,0.64,0.0426,0.58815,0.65,0.0843,0.64934,0.46,0.1435,1,0.58,0.0662,0.7804,0.39,0.2078,1,0.77,0.0161,0.27326,0.64,0.067,0.64572
"3197","Rv3147","nuoC","NADH dehydrogenase subunit C ",14,10,-0.14,0.7091,1,-0.01,0.9765,1,0.25,0.5239,1,0.41,0.2521,1,0.19,0.6101,1,-0.49,0.2165,1,0.65,0.1137,1,0.59,0.1627,1,0.32,0.3749,1,-0.03,0.9412,1,0.32,0.4226,1,0.3,0.5786,0.98043,0.42,0.3456,1,0.84,0.0323,0.44749,0.61,0.079,0.7851,0.39,0.4048,1,0.36,0.3077,1,0.05,0.8841,1,0.12,0.7133,1,-0.16,0.6659,1,0.02,0.9619,1
"3198","Rv3148","nuoD","NADH dehydrogenase subunit D ",22,11,0.15,0.7488,1,0.84,0.0261,0.28847,0.21,0.6482,1,0.99,0.0185,0.35488,0.96,0.0268,0.37001,0.68,0.1251,0.9059,0.99,0.0352,0.86409,0.74,0.1761,1,0.67,0.1164,0.83664,0.72,0.0735,0.68935,-0.24,0.6115,1,0.45,0.3197,0.85325,1.07,0.0394,0.43188,0.95,0.0179,0.30392,0.69,0.0955,0.84489,0.53,0.3073,0.97824,0.82,0.0451,0.60184,1.15,0.004,0.1057,0.85,0.0427,0.64781,0.97,0.0838,0.62732,0.47,0.3255,1
"3199","Rv3149","nuoE","NADH dehydrogenase subunit E ",9,6,-0.38,0.4646,1,0.91,0.0237,0.27288,-0.47,0.3829,1,0.66,0.1265,1,0.14,0.759,1,0.25,0.5787,1,0.6,0.2618,1,0.44,0.4178,1,-0.06,0.8847,1,0.56,0.1718,0.91398,-0.29,0.559,1,0.4,0.3214,0.85444,-0.11,0.8152,1,0.36,0.4088,1,0.69,0.0878,0.80807,0.33,0.4936,1,0.44,0.3173,1,0.37,0.3601,1,0.76,0.0481,0.68764,0.31,0.5052,1,0.4,0.3781,1
"3200","Rv3150","nuoF","PROBABLE NADH DEHYDROGENASE I (CHAIN F) NUOF (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN F) ",25,19,-0.1,0.7303,1,0.2,0.5054,0.97194,0.35,0.2918,1,0.85,0.0017,0.07373,0.57,0.0421,0.45631,0.43,0.1518,0.98166,0.72,0.0288,0.76365,0.61,0.084,1,0.53,0.0582,0.66538,0.56,0.0788,0.70973,0.46,0.1272,0.86845,0.81,0.0037,0.08484,0.39,0.2122,0.99283,0.38,0.1933,1,0.45,0.1384,0.99678,0.67,0.0285,0.4004,0.54,0.0439,0.58977,0.66,0.0132,0.2508,0.57,0.0327,0.55758,0.71,0.0336,0.42291,0.36,0.2891,0.99933
"3201","Rv3151","nuoG","NADH dehydrogenase subunit G ",30,18,-0.28,0.4193,1,-0.06,0.8661,1,0.36,0.2818,1,0.37,0.2567,1,0.65,0.0331,0.40759,0.31,0.3227,1,0.32,0.4274,1,-0.23,0.6247,1,0.4,0.2202,0.99033,0.08,0.8069,1,0.12,0.7444,1,0.15,0.6439,1,0.23,0.4999,1,0.09,0.7886,1,0.35,0.2426,1,0.24,0.5113,1,0.21,0.4889,1,0.33,0.256,1,0.33,0.2963,1,0.62,0.0443,0.47902,0.37,0.2494,0.99933
"3202","Rv3152","nuoH","NADH dehydrogenase subunit H ",28,24,0.07,0.8083,1,0.35,0.1698,0.71367,0.52,0.0656,0.63763,0.63,0.0149,0.30804,0.56,0.0322,0.40653,0.17,0.5475,1,0.75,0.0119,0.43561,0.18,0.6295,1,0.72,0.0064,0.17024,0.27,0.302,1,0.32,0.2447,1,0.69,0.0165,0.22546,0.46,0.0896,0.69418,0.54,0.0279,0.41538,0.5,0.0501,0.63238,0.57,0.0322,0.42262,0.62,0.0094,0.21432,0.68,0.0062,0.14902,0.52,0.0434,0.65346,0.76,0.0066,0.17674,0.57,0.0278,0.41389
"3203","Rv3153","nuoI","NADH dehydrogenase subunit I ",23,15,-0.15,0.6593,1,0.23,0.4643,0.95443,0.38,0.2212,1,0.27,0.3763,1,0,0.9956,1,0.27,0.3658,1,0.47,0.2039,1,0.21,0.5996,1,0.39,0.2176,0.9864,0.14,0.6493,1,0.14,0.6709,1,-0.01,0.9649,1,0.16,0.6152,1,0.39,0.1747,1,0.15,0.6115,1,0.41,0.1921,0.87398,0.34,0.2498,1,0.29,0.3216,1,0.38,0.2013,1,0.26,0.4043,0.98809,0.44,0.164,0.90642
"3204","Rv3154","nuoJ","NADH dehydrogenase subunit J ",10,9,-0.28,0.5517,1,0.39,0.3832,0.90205,0.07,0.8742,1,0.11,0.7885,1,-0.6,0.2349,0.88005,0.24,0.6175,1,0.38,0.4907,1,0.36,0.5299,1,0.47,0.2969,1,0.42,0.3459,1,0.11,0.8283,1,0.71,0.1034,0.57863,0.37,0.5384,1,0.44,0.2963,1,0.23,0.6042,1,0.3,0.4883,1,0.03,0.9413,1,0.32,0.421,1,0.31,0.4424,1,0.45,0.4034,0.98807,0.23,0.6578,1
"3205","Rv3155","nuoK","NADH dehydrogenase subunit K ",6,4,0.06,0.913,1,-0.4,0.5121,0.97765,-1.63,0.053,0.58156,0.61,0.2379,1,1.14,0.0566,0.51678,-0.43,0.5001,1,0.23,0.7584,1,1.2,0.0769,1,0.66,0.2297,1,0.29,0.6,1,0.01,0.9933,1,0.9,0.1782,0.72446,-0.04,0.9502,1,-0.32,0.6109,1,0.58,0.2949,1,0.85,0.249,0.93803,0.38,0.4897,1,0.45,0.3743,1,-0.19,0.7465,1,-0.47,0.5018,1,-0.87,0.217,0.97945
"3206","Rv3156","nuoL","NADH dehydrogenase subunit L ",35,23,0.06,0.8272,1,-0.06,0.8431,1,0.44,0.1514,0.90087,0.26,0.3813,1,0.28,0.3384,0.94257,0.11,0.7059,1,0.45,0.2118,1,-0.02,0.9578,1,0.35,0.2696,1,0.06,0.8433,1,-0.14,0.6399,1,0.25,0.4148,0.89964,-0.34,0.295,1,0.32,0.2623,1,0.16,0.5787,1,0.07,0.8346,1,0.13,0.6598,1,0.13,0.651,1,0.34,0.2213,1,-0.24,0.4406,1,-0.22,0.5115,1
"3207","Rv3157","nuoM","NADH dehydrogenase subunit M ",33,21,0.23,0.4535,1,1.05,4e-04,0.01596,0.58,0.0743,0.6753,1.21,0,0,0.48,0.1541,0.75166,0.68,0.0273,0.39754,0.93,0.0058,0.2755,0.69,0.0662,1,0.89,0.0036,0.11222,1.04,3e-04,0.01425,0.36,0.3129,1,0.78,0.0161,0.22305,0.7,0.0442,0.46167,0.74,0.015,0.27329,0.9,0.0018,0.06589,0.33,0.4242,1,0.82,0.0044,0.12277,0.63,0.0256,0.42035,0.92,0.0017,0.06716,1.15,0.0016,0.0665,0.68,0.0393,0.49281
"3208","Rv3158","nuoN","NADH dehydrogenase subunit N ",32,28,0.12,0.5285,1,0.59,3e-04,0.01234,0.56,0.0011,0.04771,0.5,0.0033,0.11756,0.51,0.0018,0.0684,0.44,0.0106,0.23628,0.56,0.0056,0.2692,0.26,0.2467,1,0.41,0.0145,0.28928,0.45,0.0042,0.10953,0.37,0.0354,0.52313,0.72,0,0,0.44,0.014,0.23275,0.53,9e-04,0.03206,0.48,0.0023,0.0798,0.26,0.1583,0.82672,0.37,0.0193,0.35003,0.56,4e-04,0.01716,0.64,1e-04,0.00596,0.72,4e-04,0.02073,0.61,9e-04,0.03861
"3209","Rv3159c","PPE53","PPE FAMILY PROTEIN ",26,20,-0.08,0.7931,1,-0.02,0.95,1,0.12,0.6929,1,-0.15,0.6494,1,-0.14,0.667,1,-0.09,0.783,1,0.06,0.8791,1,-0.03,0.9289,1,-0.34,0.2725,1,0.02,0.9546,1,-0.09,0.7575,1,-0.12,0.711,1,-0.07,0.8336,1,0,0.9922,1,0.2,0.4906,1,-0.04,0.8948,1,-0.01,0.9862,1,0.06,0.8305,1,0.22,0.4501,1,-0.14,0.6514,1,-0.28,0.3875,1
"3210","Rv3160c","-","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) ",7,4,-2.03,0.1262,1,-3.25,0.0524,0.41566,-1.37,0.2358,1,-2.91,0.0634,0.79551,-3.8,0.0447,0.46794,-2.83,0.0661,0.7206,0.94,0.3379,1,-0.74,0.6194,1,-1.09,0.3151,1,-1.01,0.3551,1,-2.81,0.0749,0.7444,-2.44,0.094,0.55979,-3.32,0.0504,0.49653,-0.93,0.3708,1,-3.18,0.0581,0.68619,-2.58,0.0723,0.61248,-2.44,0.0815,0.819,-1.41,0.2251,1,-1.99,0.1293,1,-1.56,0.2136,0.89056,-2.81,0.0658,0.64191
"3211","Rv3161c","-","POSSIBLE DIOXYGENASE ",24,18,0.23,0.5422,1,0.64,0.0622,0.45874,0.41,0.3078,1,0.15,0.6667,1,0.78,0.0191,0.31141,0.22,0.522,1,0.12,0.7775,1,-0.66,0.2381,1,0.52,0.1565,0.90512,0.54,0.1035,0.76334,0.34,0.3341,1,-0.36,0.3628,0.8738,0.32,0.3683,1,0.2,0.5675,1,0.22,0.5181,1,0.86,0.0212,0.34269,0.22,0.4852,1,0.16,0.6436,1,0.13,0.6874,1,0.47,0.2474,0.93213,0.3,0.4492,1
"3212","Rv3162c","-","POSSIBLE INTEGRAL MEMBRANE PROTEIN ",6,5,0.61,0.3102,1,-0.44,0.5562,0.99641,-1.21,0.1702,0.94582,1.02,0.1368,1,0.04,0.9629,1,0.2,0.7755,1,-0.28,0.7807,1,-0.14,0.8874,1,0.35,0.6121,1,0.01,0.9914,1,0.26,0.6974,1,0.08,0.8996,1,0.63,0.332,1,-0.05,0.9488,1,0.23,0.7498,1,-0.9,0.29,0.97173,0.12,0.8608,1,0.28,0.6682,1,0.48,0.447,1,-0.3,0.7033,1,0.45,0.5036,1
"3213","Rv3163c","-","POSSIBLE CONSERVED SECRETED PROTEIN ",15,11,0.15,0.7361,1,0.86,0.0203,0.24999,0.26,0.5812,1,0.58,0.1853,1,-0.3,0.5199,1,0.6,0.1532,0.98433,0.17,0.7761,1,0.28,0.6128,1,-0.29,0.5429,1,0.33,0.4294,1,0.51,0.2101,1,0.35,0.4482,0.91937,0.15,0.715,1,0.02,0.9667,1,0.19,0.6502,1,-0.04,0.9347,1,-0.27,0.5504,1,-0.1,0.8297,1,0.12,0.7879,1,-0.92,0.0979,0.6554,0.55,0.2578,0.99933
"3214","Rv3164c","moxR3","PROBABLE METHANOL DEHYDROGENASE TRANSCRIPTIONAL REGULATORY PROTEIN MOXR3 ",12,8,-0.39,0.4649,1,0.29,0.5683,0.99641,0.28,0.5733,1,-0.54,0.3382,1,0.67,0.1826,0.81679,0.17,0.7141,1,0.11,0.8609,1,0.46,0.456,1,0.03,0.9541,1,0.18,0.7074,1,0.57,0.274,1,-0.4,0.4505,0.91937,0.19,0.7051,1,-0.29,0.5752,1,0.39,0.4228,1,0.67,0.2144,0.89712,0.32,0.4879,1,-0.11,0.8228,1,0.5,0.2444,1,0.25,0.6336,1,0,0.9937,1
"3215","Rv3165c","-","hypothetical protein Rv3165c ",6,5,-0.67,0.2932,1,0.17,0.698,1,0.57,0.321,1,0.6,0.267,1,-0.44,0.4223,0.98979,0.1,0.853,1,0.3,0.6236,1,0.88,0.2233,1,0.42,0.4629,1,-0.19,0.7187,1,0.57,0.31,1,0.49,0.31,0.84631,0.57,0.311,1,0.35,0.5602,1,0.61,0.21,1,0.9,0.1946,0.88013,0.43,0.3772,1,0.48,0.3289,1,0.59,0.1599,1,1.02,0.0472,0.48824,-0.33,0.5917,1
"3216","Rv3166c","-","hypothetical protein Rv3166c ",14,10,-0.22,0.5316,1,-0.35,0.3158,0.8608,-0.03,0.9384,1,-0.02,0.953,1,-0.12,0.7332,1,-0.29,0.4226,1,-0.29,0.5265,1,-0.19,0.6683,1,-0.37,0.298,1,-0.81,0.0342,0.45638,-0.04,0.8985,1,-0.48,0.233,0.79766,-0.31,0.3709,1,-0.2,0.5619,1,0.19,0.535,1,-0.76,0.0553,0.55679,-0.12,0.7043,1,0.01,0.9657,1,0.3,0.3152,1,-0.06,0.8814,1,-0.43,0.2526,0.99933
"3217","Rv3167c","-","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY) ",10,9,0.04,0.9469,1,-0.18,0.7456,1,-0.77,0.2683,1,-0.09,0.8796,1,-0.55,0.3794,0.97251,0.27,0.6165,1,-0.55,0.5477,1,0.28,0.7343,1,-1.1,0.1342,0.86215,-1,0.1581,0.88741,-0.4,0.538,1,-0.5,0.4348,0.91612,-0.46,0.4962,1,-0.8,0.2324,1,0.4,0.4642,1,0.38,0.5097,1,0.1,0.8472,1,-0.64,0.3151,1,0,0.9936,1,-1.75,0.0413,0.45836,-0.65,0.3388,1
"3218","Rv3168","-","hypothetical protein Rv3168 ",20,11,-0.15,0.739,1,-0.23,0.6548,1,0.44,0.3323,1,0.21,0.6602,1,-0.42,0.4074,0.98758,-0.17,0.7189,1,0.25,0.665,1,0.05,0.9425,1,-0.02,0.975,1,-0.24,0.6254,1,0.32,0.486,1,0.32,0.4768,0.93716,0.02,0.9673,1,0.02,0.9666,1,0.31,0.4793,1,0.43,0.3528,1,0.38,0.4237,1,0.38,0.382,1,-0.11,0.8265,1,0.23,0.6744,1,-0.5,0.3415,1
"3219","Rv3169","-","hypothetical protein Rv3169 ",20,17,-0.27,0.504,1,-0.66,0.1392,0.66436,-0.33,0.4584,1,-0.97,0.0484,0.66774,0.07,0.8622,1,-0.03,0.9433,1,-0.42,0.4717,1,-0.31,0.6072,1,-0.16,0.6998,1,-0.31,0.4444,1,-0.2,0.6849,1,-0.27,0.5226,0.95998,-0.1,0.8191,1,-0.3,0.4764,1,-0.37,0.3866,1,-0.55,0.2402,0.92283,-0.16,0.678,1,0.12,0.7617,1,0.15,0.6915,1,0.14,0.7795,1,-0.31,0.4787,1
"3220","Rv3170","aofH","PROBABLE FLAVIN-CONTAINING MONOAMINE OXIDASE AOFH (AMINE OXIDASE) (MAO) ",18,11,-0.34,0.5435,1,-0.88,0.1438,0.67343,-1.03,0.103,0.74858,-0.07,0.8979,1,-0.34,0.5246,1,-0.26,0.6518,1,-0.68,0.3732,1,-0.92,0.2861,1,0.31,0.5539,1,-0.3,0.5703,1,-0.2,0.7209,1,-0.82,0.1921,0.74488,-0.21,0.7245,1,-0.28,0.6525,1,0.15,0.8112,1,-1.01,0.1362,0.78873,-0.71,0.2261,1,-0.65,0.2644,1,-0.44,0.4123,1,-0.52,0.3951,0.98491,-0.04,0.9372,1
"3221","Rv3171c","hpx","POSSIBLE NON-HEME HALOPEROXIDASE HPX ",13,8,0.12,0.8048,1,-0.16,0.7551,1,0.28,0.5927,1,0.26,0.6148,1,-0.59,0.3085,0.92969,0.23,0.6614,1,0.4,0.5269,1,0.52,0.4019,1,-0.5,0.3877,1,-0.04,0.9396,1,0.51,0.2666,1,0.2,0.6864,1,0.47,0.3399,1,0.31,0.5299,1,0.19,0.7058,1,-0.16,0.7801,1,0.12,0.8183,1,-0.3,0.5916,1,0.33,0.4982,1,0.11,0.8295,1,0.14,0.8121,1
"3222","Rv3172c","-","hypothetical protein Rv3172c ",16,15,0.13,0.5928,1,0.15,0.5538,0.99641,0.02,0.9448,1,0.09,0.7104,1,0.17,0.4959,1,0.09,0.7053,1,-0.13,0.6931,1,-0.08,0.8058,1,0.03,0.9026,1,0.31,0.1685,0.91039,-0.12,0.6469,1,0.05,0.8626,1,0.31,0.2862,1,0.28,0.2447,1,-0.25,0.3497,1,-0.44,0.1357,0.78873,0.25,0.2917,1,0.03,0.8961,1,0.3,0.1807,1,-0.28,0.362,0.9654,0.24,0.3758,1
"3223","Rv3173c","-","PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR/ACRR-FAMILY) ",8,8,-0.06,0.9104,1,-1.29,0.0466,0.39815,-2.73,0.0024,0.08327,-0.09,0.8527,1,-2.37,0.0026,0.08366,-1.16,0.0549,0.64517,-0.24,0.7115,1,-0.39,0.6095,1,0.14,0.8009,1,-0.74,0.1756,0.92433,-0.85,0.1626,0.95972,-1.63,0.0124,0.18884,-1.39,0.0419,0.45062,-1.27,0.0415,0.51584,-1.4,0.0216,0.38822,-0.57,0.3265,0.9862,-0.65,0.2037,1,-0.11,0.8217,1,-0.25,0.5879,1,-1.65,0.0142,0.26541,-1.17,0.049,0.53969
"3224","Rv3174","-","short chain dehydrogenase ",13,8,0.11,0.8066,1,0.16,0.7477,1,0.05,0.9139,1,-0.13,0.7789,1,-0.25,0.5916,1,-0.15,0.7536,1,0.04,0.9369,1,-0.43,0.4993,1,-0.11,0.8054,1,-0.22,0.6671,1,0.46,0.2606,1,-0.22,0.6583,1,-0.05,0.9159,1,0.12,0.7955,1,0.09,0.8432,1,0.41,0.3888,1,0.29,0.4802,1,0.35,0.4257,1,0.12,0.7938,1,0.08,0.8575,1,0.22,0.649,1
"3225","Rv3175","-","amidase ",22,18,0.04,0.9018,1,0.24,0.4483,0.93873,-0.35,0.3523,1,-0.01,0.9786,1,-0.28,0.4465,0.99617,0.08,0.8308,1,0.14,0.7401,1,0.3,0.4996,1,0.13,0.7182,1,0.07,0.8341,1,0.1,0.7649,1,-0.44,0.234,0.79766,0.34,0.3819,1,0.25,0.4527,1,0.24,0.4705,1,0,0.9906,1,-0.04,0.9031,1,-0.21,0.5456,1,-0.05,0.8792,1,0.03,0.944,1,0.15,0.6563,1
"3226","Rv3176c","mesT","PROBABLE EPOXIDE HYDROLASE MEST (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) ",14,11,-0.43,0.3524,1,-0.1,0.8178,1,-0.4,0.3792,1,0.46,0.2532,1,-0.21,0.6289,1,0.38,0.3709,1,-0.32,0.5775,1,0.33,0.519,1,0.24,0.5726,1,-0.19,0.6308,1,0.17,0.6679,1,-0.16,0.7063,1,0.15,0.7305,1,0.35,0.3948,1,0.4,0.3233,1,-0.41,0.4126,1,-0.06,0.8896,1,-0.04,0.9147,1,0.16,0.7016,1,-0.45,0.3447,0.96469,0.06,0.9055,1
"3227","Rv3177","-","POSSIBLE PEROXIDASE (NON-HAEM PEROXIDASE) ",8,7,0.46,0.3661,1,-0.37,0.5213,0.98391,-0.29,0.6527,1,-0.03,0.9552,1,-0.35,0.5628,1,-0.5,0.415,1,-0.24,0.7637,1,0.38,0.6309,1,-0.13,0.8191,1,-0.22,0.7077,1,-0.44,0.4925,1,-0.74,0.2717,0.8269,-0.84,0.2139,0.99703,-0.93,0.1602,1,0.17,0.7684,1,0.43,0.5342,1,0.56,0.2419,1,0.42,0.46,1,0,0.9961,1,-1.1,0.1578,0.79198,-0.67,0.3131,1
"3228","Rv3178","-","hypothetical protein Rv3178 ",8,8,-0.66,0.2008,1,-0.22,0.6143,1,0.21,0.661,1,-0.28,0.5432,1,0.38,0.3369,0.94134,0.11,0.7964,1,-0.47,0.475,1,-0.13,0.8223,1,-0.32,0.4985,1,-0.23,0.6032,1,0.07,0.8846,1,-0.84,0.1531,0.68939,-0.43,0.3779,1,0.36,0.3671,1,-0.43,0.3638,1,0.13,0.7594,1,-0.1,0.8381,1,-0.03,0.9459,1,0.03,0.9499,1,0.07,0.8793,1,0.1,0.8053,1
"3229","Rv3179","-","hypothetical protein Rv3179 ",15,15,0.07,0.7585,1,0.02,0.918,1,-0.01,0.9682,1,0.11,0.6446,1,0.1,0.6615,1,0.18,0.385,1,-0.01,0.9748,1,-0.15,0.6354,1,0.03,0.8951,1,-0.03,0.8978,1,0.09,0.6807,1,-0.04,0.8693,1,0.02,0.9424,1,0.06,0.772,1,0.01,0.9591,1,0.01,0.9769,1,-0.03,0.8832,1,0.07,0.7591,1,0.24,0.253,1,0.48,0.0551,0.51367,0.18,0.4141,1
"3230","Rv3180c","-","HYPOTHETICAL ALANINE RICH PROTEIN ",6,6,0.49,0.4773,1,0.66,0.1903,0.74783,-0.07,0.9314,1,-0.52,0.4191,1,-1.75,0.0403,0.44419,0.35,0.5476,1,-0.14,0.865,1,0.47,0.5209,1,0.09,0.893,1,0.86,0.0654,0.64751,0.44,0.5113,1,-0.14,0.823,1,-0.53,0.4321,1,-0.92,0.1847,1,0.1,0.8594,1,-0.45,0.4892,1,0.18,0.7422,1,0.27,0.6662,1,0.86,0.0967,0.88902,-0.85,0.2342,0.91334,1.08,0.0763,0.68259
"3231","Rv3181c","-","hypothetical protein Rv3181c ",6,4,-0.21,0.8226,1,1.63,0.0272,0.29491,0.29,0.7392,1,1.4,0.1066,1,0.89,0.3094,0.92993,0.33,0.6788,1,0.67,0.498,1,-0.12,0.9326,1,-0.37,0.6858,1,1.43,0.0489,0.55746,1.67,0.0776,0.74608,1.3,0.0699,0.49189,0.37,0.7516,1,0.99,0.2917,1,0.67,0.3397,1,-1.89,0.157,0.82624,1.38,0.1212,1,1,0.2303,1,0.43,0.5682,1,1.17,0.3018,0.94261,0.49,0.5595,1
"3232","Rv3182","-","hypothetical protein Rv3182 ",1,1,0.79,0.2428,1,1.54,0.0465,0.39814,3.25,0.0479,0.56164,-0.19,0.7307,1,-0.02,0.9503,1,0.28,0.6924,1,1.78,0.1755,1,2.59,0.17,1,-0.87,0.144,0.87452,0.81,0.0432,0.52095,1.5,0.0457,0.59915,-5.39,0.0468,0.40244,3.26,0.047,0.48064,1.3,0.2297,1,1.38,0.2369,1,-1.23,0.0939,0.68317,2.31,0.0467,0.61354,1.24,0.0468,0.63085,0.8,0.1461,1,2.73,0.0472,0.48824,3.18,0.0455,0.53083
"3233","Rv3183","-","POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN ",3,3,0.73,0.423,1,0.21,0.7979,1,-0.13,0.8911,1,0.55,0.5164,1,0.46,0.5614,1,0.86,0.2782,1,0.77,0.4543,1,-0.14,0.9001,1,0.28,0.7254,1,0.36,0.6464,1,0.52,0.4914,1,-0.67,0.5315,0.9627,0.49,0.5091,1,0.47,0.549,1,0.32,0.7003,1,0.58,0.5195,1,0.34,0.6926,1,-0.48,0.637,1,0.26,0.7486,1,-1.52,0.2229,0.89725,-0.3,0.7598,1
"3234","Rv3184","-","PROBABLE TRANSPOSASE ",5,5,0.68,0.1048,1,1.06,0.0092,0.14983,1.11,0.0089,0.20767,0.69,0.1295,1,0.81,0.0629,0.55158,0.67,0.1298,0.91827,0.79,0.1248,1,0.66,0.2549,1,0.71,0.1067,0.8139,0.57,0.1847,0.94097,0.58,0.1807,0.99068,0.44,0.4232,0.90653,0.47,0.2973,1,0.63,0.1515,0.97884,0.79,0.0627,0.71274,0.75,0.0925,0.68095,0.49,0.2628,1,0.59,0.1835,1,0.42,0.3563,1,1.03,0.0068,0.17762,0.76,0.0662,0.64246
"3235","Rv3185","-","PROBABLE TRANSPOSASE ",24,23,0.6,9e-04,0.04987,0.54,0.0044,0.09049,0.9,0,0,0.56,0.0027,0.10163,0.7,1e-04,0.00654,0.38,0.0434,0.54973,0.47,0.0427,0.94652,0.3,0.2335,1,0.61,0.0018,0.06529,0.16,0.4058,1,0.43,0.0242,0.4176,0.03,0.8998,1,0.43,0.032,0.38574,0.44,0.0206,0.33686,0.69,2e-04,0.01191,0.92,0,0,0.46,0.0145,0.2922,0.56,0.0014,0.04655,0.27,0.1559,1,0.43,0.0338,0.42402,0.53,0.005,0.1348
"3236","Rv3186","-","PROBABLE TRANSPOSASE ",5,5,0.54,0.1457,1,0.56,0.1276,0.64365,0.94,0.014,0.27517,0.48,0.1679,1,0.75,0.0386,0.43497,0.37,0.305,1,0.38,0.3962,1,0.3,0.5038,1,0.6,0.0857,0.74335,0.2,0.6041,1,0.31,0.3818,1,0.5,0.2397,0.80302,0.34,0.388,1,0.48,0.1992,1,0.67,0.0605,0.6971,0.72,0.0551,0.55658,0.49,0.1485,1,0.41,0.2634,1,0.18,0.6078,1,0.91,0.0073,0.18091,0.5,0.1237,0.82393
"3237","Rv3187","-","PROBABLE TRANSPOSASE ",24,24,0.57,0.0044,0.1596,0.45,0.0245,0.27771,0.84,0,0,0.55,0.0061,0.17896,0.68,3e-04,0.0164,0.42,0.0359,0.48119,0.42,0.1019,1,0.27,0.3261,1,0.55,0.0087,0.20911,0.21,0.3038,1,0.41,0.041,0.56297,0.08,0.7311,1,0.45,0.0359,0.41399,0.37,0.0623,0.67183,0.66,4e-04,0.02073,0.79,0,0,0.41,0.0387,0.5418,0.53,0.0056,0.13965,0.3,0.1595,1,0.45,0.0315,0.41208,0.43,0.0371,0.48375
