Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv3134c	-	Universal stress protein family protein	Non essential	virulence, detoxification, adaptation	Rv3792, Rv3515c, Rv1915, Rv1843c, Rv0015c, Rv1760, Rv0351, Rv2402, Rv3469c, Rv2029c
Rv3135	PPE50	PPE family protein PPE50	Non essential	PE/PPE	Rv2911, Rv1344, Rv2436, Rv2407, Rv1317c, Rv2958c, Rv0233, Rv1746, Rv0182c, Rv3119
Rv3136	PPE51	PPE family protein PPE51	Non essential	PE/PPE	Rv1336, Rv0379, Rv1962c, Rv1345, Rv3420c, Rv2421c, Rv1602, Rv2746c, Rv1449c, Rv1335
Rv3137	-	Probable monophosphatase	Essential	intermediary metabolism and respiration	Rv1338, Rv0884c, Rv3276c, Rv1600, Rv3336c, Rv3003c, Rv3227, Rv3246c, Rv0337c, Rv3260c
Rv3138	pflA	Probable pyruvate formate lyase activating protein PflA (formate acetyltransferase activating enzyme) ([pyruvate formate-lyase] activating enzyme)	Non essential	intermediary metabolism and respiration	Rv3617, Rv0516c, Rv0159c, Rv0447c, Rv3824c, Rv0598c, Rv2590, Rv0676c, Rv2029c, Rv1760
Rv3139	fadE24	Probable acyl-CoA dehydrogenase FadE24	Non essential	lipid metabolism	Rv2097c, Rv2151c, Rv1638, Rv1280c, Rv2977c, Rv2524c, Rv1700, Rv0490, Rv1391, Rv3908
Rv3140	fadE23	Probable acyl-CoA dehydrogenase FadE23	Non essential	lipid metabolism	Rv1638, Rv2097c, Rv0490, Rv3908, Rv1496, Rv2977c, Rv3722c, Rv0903c, Rv3273, Rv2151c
Rv3141	fadB4	Probable NADPH quinone oxidoreductase FadB4 (NADPH:quinone reductase) (zeta-crystallin)	Non essential	lipid metabolism	Rv2007c, Rv2043c, Rv2757c, Rv1541c, Rv3414c, Rv0282, Rv0601c, Rv3444c, Rv3130c, Rv1755c
Rv3142c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv3610c, Rv3272, Rv0208c, Rv0749, Rv3589, Rv0418, Rv0070c, Rv0478, Rv3911, Rv3592
Rv3143	-	Probable response regulator	Non essential	regulatory proteins	Rv0129c, Rv0241c, Rv1184c, Rv1633, Rv3586, Rv2215, Rv0600c, Rv1474c, Rv0407, Rv0206c
Rv3144c	PPE52	PPE family protein PPE52	Non essential	PE/PPE	Rv2389c, Rv2727c, Rv1818c, Rv1911c, Rv0230c, Rv1675c, Rv1160, Rv2548, Rv2285, Rv2902c
Rv3145	nuoA	Probable NADH dehydrogenase I (chain A) NuoA (NADH-ubiquinone oxidoreductase chain A)	Non essential	intermediary metabolism and respiration	Rv3392c, Rv3151, Rv3150, Rv3148, Rv0980c, Rv0848, Rv1743, Rv2855, Rv2416c, Rv2962c
Rv3146	nuoB	Probable NADH dehydrogenase I (chain B) NuoB (NADH-ubiquinone oxidoreductase chain B)	Non essential	intermediary metabolism and respiration	Rv2962c, Rv3821, Rv0624, Rv2852c, Rv0821c, Rv3148, Rv2267c, Rv2176, Rv1365c, Rv2855
Rv3147	nuoC	Probable NADH dehydrogenase I (chain C) NuoC (NADH-ubiquinone oxidoreductase chain C)	Non essential	intermediary metabolism and respiration	Rv2350c, Rv2744c, Rv2430c, Rv3488, Rv1185c, Rv0751c, Rv2027c, Rv2232, Rv1302, Rv0823c
Rv3148	nuoD	Probable NADH dehydrogenase I (chain D) NuoD (NADH-ubiquinone oxidoreductase chain D)	Non essential	intermediary metabolism and respiration	Rv2855, Rv3145, Rv3392c, Rv2962c, Rv0624, Rv3146, Rv3150, Rv3151, Rv2176, Rv1743
Rv3149	nuoE	Probable NADH dehydrogenase I (chain E) NuoE (NADH-ubiquinone oxidoreductase chain E)	Non essential	intermediary metabolism and respiration	Rv1537, Rv0496, Rv2801c, Rv2919c, Rv1259, Rv3240c, Rv0982, Rv2623, Rv2865, Rv3358
Rv3150	nuoF	Probable NADH dehydrogenase I (chain F) NuoF (NADH-ubiquinone oxidoreductase chain F)	Non essential	intermediary metabolism and respiration	Rv3151, Rv1743, Rv3392c, Rv0980c, Rv3145, Rv3152, Rv1372, Rv0848, Rv0867c, Rv3148
Rv3151	nuoG	Probable NADH dehydrogenase I (chain G) NuoG (NADH-ubiquinone oxidoreductase chain G)	Non essential	intermediary metabolism and respiration	Rv3150, Rv1743, Rv0980c, Rv3392c, Rv3145, Rv3152, Rv1372, Rv0848, Rv0867c, Rv3148
Rv3152	nuoH	Probable NADH dehydrogenase I (chain H) NuoH (NADH-ubiquinone oxidoreductase chain H)	Non essential	intermediary metabolism and respiration	Rv0867c, Rv1743, Rv0107c, Rv3150, Rv3151, Rv1372, Rv0980c, Rv2973c, Rv3392c, Rv3145
Rv3153	nuoI	Probable NADH dehydrogenase I (chain I) NuoI (NADH-ubiquinone oxidoreductase chain I)	Non essential	intermediary metabolism and respiration	Rv1261c, Rv1130, Rv3681c, Rv0533c, Rv1497, Rv1001, Rv0297, Rv3157, Rv1129c, Rv3088
Rv3154	nuoJ	Probable NADH dehydrogenase I (chain J) NuoJ (NADH-ubiquinone oxidoreductase chain J)	Non essential	intermediary metabolism and respiration	Rv0286, Rv3366, Rv0977, Rv2294, Rv2299c, Rv0006, Rv3106, Rv2918c, Rv3743c, Rv1161
Rv3155	nuoK	Probable NADH dehydrogenase I (chain K) NuoK (NADH-ubiquinone oxidoreductase chain K)	Non essential	intermediary metabolism and respiration	Rv1264, Rv0220, Rv3130c, Rv2428, Rv1848, Rv1608c, Rv1218c, Rv2816c, Rv1187, Rv0601c
Rv3156	nuoL	Probable NADH dehydrogenase I (chain L) NuoL (NADH-ubiquinone oxidoreductase chain L)	Non essential	intermediary metabolism and respiration	Rv3609c, Rv2682c, Rv2155c, Rv3712, Rv1511, Rv2538c, Rv1989c, Rv1430, Rv1304, Rv2095c
Rv3157	nuoM	Probable NADH dehydrogenase I (chain M) NUOK (NADH-ubiquinone oxidoreductase chain M)	Non essential	intermediary metabolism and respiration	Rv3878, Rv1561, Rv3153, Rv1001, Rv2213, Rv0533c, Rv1261c, Rv3357, Rv1130, Rv1562c
Rv3158	nuoN	Probable NADH dehydrogenase I (chain N) NuoN (NADH-ubiquinone oxidoreductase chain N)	Non essential	intermediary metabolism and respiration	Rv0183, Rv1151c, Rv2191, Rv1213, Rv2450c, Rv0103c, Rv3406, Rv1032c, Rv3232c, Rv0535
Rv3159c	PPE53	PPE family protein PPE53	Non essential	PE/PPE	Rv0888, Rv2027c, Rv3404c, Rv3198c, Rv2430c, Rv0823c, Rv2350c, Rv2982c, Rv1212c, Rv0751c
Rv3160c	-	Possible transcriptional regulatory protein (probably TetR-family)	Non essential	regulatory proteins	Rv0450c, Rv0202c, Rv1348, Rv0998, Rv0391, Rv1942c, Rv1238, Rv1272c, Rv2048c, Rv1235
Rv3161c	-	Possible dioxygenase	Non essential	intermediary metabolism and respiration	Rv1304, Rv3582c, Rv3712, Rv2682c, Rv2538c, Rv0357c, Rv3156, Rv2157c, Rv3581c, Rv1201c
Rv3162c	-	Possible integral membrane protein	Non essential	cell wall and cell processes	Rv2179c, Rv3653, Rv0732, Rv1897c, Rv0050, Rv1284, Rv3809c, Rv2741, Rv0469, Rv3214
Rv3163c	-	Possible conserved secreted protein	Non essential	cell wall and cell processes	Rv3089, Rv3133c, Rv0148, Rv0802c, Rv1777, Rv3086, Rv0182c, Rv3480c, NONE, NONE
Rv3164c	moxR3	Probable methanol dehydrogenase transcriptional regulatory protein MoxR3	Non essential	regulatory proteins	Rv1660, Rv1196, Rv0006, Rv2294, Rv2156c, Rv3366, Rv1625c, Rv2299c, Rv0286, Rv1161
Rv3165c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3109, Rv1886c, Rv0847, Rv1745c, Rv3398c, Rv0677c, Rv3452, Rv0978c, Rv3119, Rv0908
Rv3166c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2482c, Rv2801A, Rv0032, Rv1329c, Rv1077, Rv0853c, Rv1288, Rv3379c, Rv1650, Rv3731
Rv3167c	-	Probable transcriptional regulatory protein (probably TetR-family)	Non essential	regulatory proteins	Rv3133c, Rv3089, Rv0182c, Rv2429, Rv1777, Rv2006, Rv0233, NONE, NONE, NONE
Rv3168	-	Putative aminoglycoside phosphotransferase	Non essential	virulence, detoxification, adaptation	Rv1114, Rv2829c, Rv0900, Rv0126, Rv3835, Rv0013, Rv0596c, Rv0626, Rv1629, Rv2865
Rv3169	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3082c, Rv3841, Rv1739c, Rv0254c, Rv1253, Rv2002, Rv2103c, Rv2602, Rv0858c, Rv0586
Rv3170	aofH	Probable flavin-containing monoamine oxidase AofH (amine oxidase) (MAO)	Non essential	intermediary metabolism and respiration	Rv3270, Rv0020c, Rv1884c, Rv0678, Rv0948c, Rv2466c, Rv0130, Rv3417c, Rv3024c, Rv3223c
Rv3171c	hpx	Possible non-heme haloperoxidase Hpx	Non essential	virulence, detoxification, adaptation	Rv2962c, Rv3146, Rv0624, Rv3821, Rv3148, Rv2176, Rv2852c, Rv2855, Rv0821c, Rv3145
Rv3172c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2801A, Rv1077, Rv2482c, Rv1288, Rv3379c, Rv0853c, Rv0032, Rv1650, Rv2388c, Rv1329c
Rv3173c	-	Probable transcriptional regulatory protein (probably TetR/AcrR-family)	Non essential	regulatory proteins	Rv2112c, Rv2922c, Rv3318, Rv0438c, Rv2579, Rv1160, Rv1909c, Rv1675c, Rv0230c, Rv1911c
Rv3174	-	Probable short-chain dehydrogenase/reductase	Non essential	intermediary metabolism and respiration	Rv3316, Rv1563c, Rv1341, Rv2964, Rv0895, Rv3315c, Rv3704c, Rv0754, Rv1267c, Rv3567c
Rv3175	-	Possible amidase (aminohydrolase)	Non essential	intermediary metabolism and respiration	Rv0624, Rv3821, Rv3146, Rv2176, Rv2962c, Rv3148, Rv2855, Rv3619c, Rv2878c, Rv3409c
Rv3176c	mesT	Probable epoxide hydrolase MesT (epoxide hydratase) (arene-oxide hydratase)	Non essential	virulence, detoxification, adaptation	Rv2950c, Rv2332, Rv0956, Rv3886c, Rv2953, Rv0934, Rv3509c, Rv1653, Rv1242, Rv2196
Rv3177	-	Possible peroxidase (non-haem peroxidase)	Non essential	virulence, detoxification, adaptation	Rv0418, Rv3911, Rv2530c, Rv1088, Rv3272, Rv0500, Rv3062, Rv0749, Rv3754, Rv1562c
Rv3178	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3793, Rv1027c, Rv3913, Rv3378c, Rv3561, Rv1400c, Rv1931c, Rv1558, Rv3297, Rv0512
Rv3179	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2430c, Rv2027c, Rv2350c, Rv0888, Rv0751c, Rv0823c, Rv3404c, Rv3198c, Rv2744c, Rv1185c
Rv3180c	-	Hypothetical alanine rich protein	Non essential	conserved hypotheticals	Rv1187, Rv2816c, Rv1608c, Rv2428, Rv0220, Rv2521, Rv1264, Rv1848, Rv3155, Rv3197A
Rv3181c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1259, Rv2919c, Rv3240c, Rv0982, Rv0496, Rv2865, Rv3358, Rv0596c, Rv1537, Rv0211
Rv3182	-	hypothetical protein	Uncertain	conserved hypotheticals	Rv3835, Rv0626, Rv0211, Rv0900, Rv0126, Rv0596c, Rv3358, Rv2829c, Rv2865, Rv3240c
Rv3183	-	Possible transcriptional regulatory protein	Non essential	regulatory proteins	Rv1400c, Rv3561, Rv1931c, Rv3378c, Rv3045, Rv3913, Rv3793, Rv1027c, Rv2780, Rv2950c
Rv3184	-	Probable transposase for insertion sequence element IS6110 (fragment)	Non essential	insertion seqs and phages	Rv0554, Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0899
Rv3185	-	Probable transposase	Non essential	insertion seqs and phages	Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0554, Rv0899
Rv3186	-	Probable transposase for insertion sequence element IS6110 (fragment)	Non essential	insertion seqs and phages	Rv0554, Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0899
Rv3187	-	Probable transposase	Non essential	insertion seqs and phages	Rv2461c, Rv3261, Rv1286, Rv2335, Rv3262, Rv2334, Rv1170, Rv3696c, Rv0554, Rv0899
Rv3188	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3168, Rv1114, Rv2829c, Rv0900, Rv1629, Rv2949c, Rv2252, Rv0557, Rv1604, Rv1316c
Rv3189	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0182c, Rv0148, Rv3133c, Rv3089, Rv0233, Rv2958c, Rv2429, Rv1317c, Rv2407, NONE
Rv3190c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv3619c, Rv3409c, Rv2878c, Rv2176, Rv2631, Rv0624, Rv2970c, Rv2243, Rv3821, Rv1601
Rv3191c	-	Probable transposase	Non essential	insertion seqs and phages	Rv3903c, Rv2793c, Rv3765c, Rv1026, Rv1206, Rv2266, Rv2584c, Rv1033c, Rv2673, Rv1917c
Rv3192	-	Conserved hypothetical alanine and proline-rich protein	Non essential	conserved hypotheticals	Rv0987, Rv1872c, Rv1859, Rv0969, Rv0277c, Rv2549c, Rv0620, Rv0986, Rv3364c, NONE
Rv3193c	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv0127, Rv0384c, Rv2518c, Rv3671c, Rv2202c, Rv0410c, Rv3455c, Rv3627c, Rv3646c, Rv3778c
Rv3194c	-	Possible conserved secreted protein	Non essential	cell wall and cell processes	Rv2115c, Rv1159, Rv0437c, Rv1080c, Rv2752c, Rv2386c, Rv0352, Rv1106c, Rv0903c, Rv1638
Rv3195	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3364c, Rv0858c, Rv0408, Rv3383c, Rv1102c, Rv1859, Rv2002, Rv1108c, Rv2602, Rv3307
Rv3196	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0694, Rv2818c, Rv1495, Rv2817c, Rv3702c, Rv0065, Rv2819c, Rv2964, Rv1996, Rv0754
Rv3196A	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3270, Rv0678, Rv0020c, Rv0948c, Rv1884c, Rv2466c, Rv0130, Rv3417c, Rv2623, Rv0582
Rv3197	-	Probable conserved ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv2613c, Rv1538c, Rv1539, Rv0465c, Rv2359, Rv1822, Rv3810, Rv1957, Rv2476c, Rv3131
Rv3197A	whiB7	Probable transcriptional regulatory protein WhiB-like WhiB7	Non essential	regulatory proteins	Rv2521, Rv1755c, Rv1848, Rv2428, Rv2816c, Rv3444c, Rv1608c, Rv1187, Rv1264, Rv0220
Rv3198A	-	Possible glutaredoxin protein	Non essential	intermediary metabolism and respiration	Rv0422c, Rv1654, Rv2157c, Rv1305, Rv0357c, Rv1315, Rv3582c, Rv3230c, Rv0683, Rv0682
Rv3198c	uvrD2	Probable ATP-dependent DNA helicase II UvrD2	Essential domain	information pathways	Rv2982c, Rv0262c, Rv3404c, Rv0888, Rv2027c, Rv2430c, Rv1223, Rv0751c, Rv1212c, Rv2959c
Rv3199c	nudC	Probable NADH pyrophosphatase NudC (NAD+ diphosphatase) (NAD+ pyrophosphatase) (NADP pyrophosphatase)	Non essential	intermediary metabolism and respiration	Rv2881c, Rv2200c, Rv1089, Rv3654c, Rv3117, Rv1379, Rv0761c, Rv2946c, Rv1334, Rv2743c
Rv3200c	-	Possible transmembrane cation transporter	Non essential	cell wall and cell processes	Rv1412, Rv1391, Rv1280c, Rv1700, Rv2151c, Rv1701, Rv2524c, Rv1493, Rv0859, Rv1492
Rv3201c	-	Probable ATP-dependent DNA helicase	Non essential	information pathways	Rv1026, Rv3903c, Rv1033c, Rv3765c, Rv2793c, Rv1206, Rv2266, Rv0385, Rv3234c, Rv0091
Rv3202c	-	Possible ATP-dependent DNA helicase	Non essential	information pathways	Rv0676c, Rv0447c, Rv0159c, Rv2590, Rv1747, Rv0516c, Rv3469c, Rv0015c, Rv1760, Rv3824c
Rv3203	lipV	Possible lipase LipV	Non essential	intermediary metabolism and respiration	Rv2959c, Rv1076, Rv1223, Rv3470c, Rv2872, Rv0187, Rv1219c, Rv0751c, Rv2688c, Rv0577
Rv3204	-	Possible DNA-methyltransferase (modification methylase)	Non essential	information pathways	Rv1207, Rv3087, Rv3214, Rv0734, Rv1712, Rv3405c, Rv2234, Rv1857, Rv0409, Rv1284
Rv3205c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3286c, Rv0469, Rv0408, Rv0234c, Rv1108c, Rv3383c, Rv2088, Rv1897c, Rv3307, Rv3567c
Rv3206c	moeB1	Probable molybdenum cofactor biosynthesis protein MoeB1 (MPT-synthase sulfurylase) (molybdopterin synthase sulphurylase)	Essential	intermediary metabolism and respiration	Rv3227, Rv3418c, Rv3276c, Rv3244c, Rv3260c, Rv3137, Rv1338, Rv0189c, Rv0884c, Rv3246c
Rv3207c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0129c, Rv0241c, Rv1184c, Rv1633, Rv2215, Rv3586, Rv1474c, Rv0600c, Rv0407, Rv3084
Rv3208	-	Probable transcriptional regulatory protein (probably TetR-family)	Non essential	regulatory proteins	Rv1708, Rv0291, Rv2093c, Rv0638, Rv3778c, Rv3455c, Rv1307, Rv3014c, Rv2984, Rv2438c
Rv3208A	TB9.4	Conserved protein TB9.4	Non essential	conserved hypotheticals	Rv1102c, Rv3383c, Rv1108c, Rv0409, Rv0050, Rv1897c, Rv1284, Rv0858c, Rv2602, Rv0734
Rv3209	-	Conserved hypothetical threonine and proline rich protein	Non essential	conserved hypotheticals	Rv3409c, Rv2631, Rv3619c, Rv2878c, Rv2176, Rv0624, Rv1601, Rv3821, Rv0221, Rv3065
Rv3210c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2202c, Rv0127, Rv3455c, Rv3778c, Rv3646c, Rv0291, Rv0384c, Rv2093c, Rv3627c, Rv3014c
Rv3211	rhlE	Probable ATP-dependent RNA helicase RhlE	Growth defect	information pathways	Rv0013, Rv1114, Rv2745c, Rv2829c, Rv3168, Rv0126, Rv0900, Rv2586c, Rv0902c, Rv3835
Rv3212	-	Conserved alanine valine rich protein	Growth defect	conserved hypotheticals	Rv0189c, Rv3280, Rv3219, Rv3244c, Rv3356c, Rv3260c, Rv3247c, Rv3396c, Rv3246c, Rv3248c
Rv3213c	-	Possible SOJ/para-related protein	Non essential	cell wall and cell processes	Rv0475, Rv0668, Rv3842c, Rv1302, Rv2118c, Rv0823c, Rv0045c, Rv0203, Rv1955, Rv1212c
Rv3214	gpm2	Possible phosphoglycerate mutase Gpm2 (phosphoglyceromutase) (PGAM) (BPG-dependent PGAM)	Non essential	intermediary metabolism and respiration	Rv0732, Rv1712, Rv3087, Rv1849, Rv2179c, Rv0321, Rv1284, Rv3505, Rv1207, Rv3809c
Rv3215	entC	Probable isochorismate synthase EntC (isochorismate hydroxymutase) (enterochelin biosynthesis)	Growth defect	intermediary metabolism and respiration	Rv3245c, Rv3789, Rv1093, Rv1338, Rv1600, Rv0884c, Rv2477c, Rv3137, Rv3206c, Rv3221A
Rv3216	-	-	Missing	intermediary metabolism and respiration	Rv1306, Rv0444c, Rv2539c, Rv3425, Rv1293, Rv3012c, Rv2742c, Rv0417, Rv1484, Rv2121c
Rv3217c	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv2848c, Rv1737c, Rv3855, Rv1448c, Rv0065, Rv1173, Rv3853, Rv0295c, Rv1596, Rv1495
Rv3218	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1468c, Rv1205, Rv1222, Rv1386, Rv2187, Rv3419c, Rv0404, Rv1328, Rv1365c, Rv0931c
Rv3219	whiB1	Transcriptional regulatory protein WhiB-like WhiB1 Contains [4FE-4S]2+ cluster	Growth defect	regulatory proteins	Rv3356c, Rv3280, Rv3248c, Rv3247c, Rv0189c, Rv3244c, Rv3260c, Rv3372, Rv3396c, Rv3246c
Rv3220c	-	Probable two component sensor kinase	Non essential	regulatory proteins	Rv1626, Rv1308, Rv3458c, Rv1310, Rv2965c, Rv3581c, Rv1201c, Rv0957, Rv0706, Rv1655
Rv3221A	rshA	Anti-sigma factor RshA	Uncertain	information pathways	Rv2210c, Rv1093, Rv0337c, Rv1600, Rv3789, Rv3003c, Rv2477c, Rv0884c, Rv3245c, Rv1338
Rv3221c	TB7.3	Biotinylated protein TB7.3	Uncertain	lipid metabolism	Rv1483, Rv1594, Rv2194, Rv2753c, Rv2438c, Rv0736, Rv3014c, Rv3042c, Rv2093c, Rv2201
Rv3222c	-	hypothetical protein	Essential	conserved hypotheticals	Rv3336c, Rv3137, Rv3276c, Rv3246c, Rv0884c, Rv1338, Rv3260c, Rv3003c, Rv3244c, Rv3227
Rv3223c	sigH	Alternative RNA polymerase sigma-E factor (sigma-24) SigH (RPOE)	Non essential	information pathways	Rv2626c, Rv0130, Rv2276, Rv0949, Rv0020c, Rv3024c, Rv3282, Rv0617, Rv1884c, Rv0948c
Rv3224	-	Possible iron-regulated short-chain dehydrogenase/reductase	Non essential	intermediary metabolism and respiration	Rv1222, Rv1468c, Rv1205, Rv1328, Rv3419c, Rv1239c, Rv1386, Rv1365c, Rv0413, Rv2218
Rv3224A	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3214, Rv3087, Rv1712, Rv0732, Rv1207, Rv1849, Rv3505, Rv1284, Rv2179c, Rv0321
Rv3224B	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1909c, Rv3318, Rv0438c, Rv2922c, Rv2112c, Rv0206c, Rv2579, Rv3586, NONE, NONE
Rv3225c	-	GCN5-related N-acetyltransferase, phosphorylase	Non essential	intermediary metabolism and respiration	Rv2701c, Rv0054, Rv2725c, Rv1189, Rv3808c, Rv1075c, Rv2539c, Rv1771, Rv2823c, Rv0444c
Rv3226c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1931c, Rv1400c, Rv3045, Rv3561, Rv2780, Rv3378c, Rv2950c, Rv1653, Rv2332, Rv3913
Rv3227	aroA	3-phosphoshikimate 1-carboxyvinyltransferase AroA (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Essential	intermediary metabolism and respiration	Rv3206c, Rv3276c, Rv3244c, Rv3260c, Rv3137, Rv0189c, Rv3246c, Rv1338, Rv3418c, Rv0884c
Rv3228	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2392, Rv2110c, Rv0462, Rv1956, Rv3588c, Rv0489, Rv1248c, Rv3764c, Rv2445c, Rv2592c
Rv3229c	desA3	Possible linoleoyl-CoA desaturase (delta(6)-desaturase)	Non essential	lipid metabolism	Rv1553, Rv2866, Rv0986, Rv2549c, Rv0586, Rv0969, Rv0277c, Rv3600c, Rv0987, Rv0908
Rv3230c	-	Hypothetical oxidoreductase	Non essential	intermediary metabolism and respiration	Rv1305, Rv1654, Rv0682, Rv0422c, Rv2157c, Rv0683, Rv0357c, Rv1315, Rv1309, Rv2122c
Rv3231c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv3398c, Rv1745c, Rv3119, Rv0978c, Rv3109, Rv1886c, Rv1746, Rv1344, Rv0847, Rv2911
Rv3232c	ppk2	Polyphosphate kinase Ppk2 (polyphosphoric acid kinase)	Growth advantage	intermediary metabolism and respiration	Rv1032c, Rv3406, Rv0535, Rv0103c, Rv0058, Rv1213, Rv1151c, Rv2924c, Rv0183, Rv1010
Rv3233c	-	Possible triacylglycerol synthase (diacylglycerol acyltransferase)	Growth advantage	lipid metabolism	Rv0551c, Rv2924c, Rv1010, Rv1695, Rv0845, Rv0058, Rv3515c, Rv2402, Rv0535, Rv3232c
Rv3234c	tgs3	Putative triacylglycerol synthase (diacylglycerol acyltransferase) Tgs3	Growth advantage	lipid metabolism	Rv0091, Rv0385, Rv1009, Rv0937c, Rv1033c, Rv0866, Rv2346c, Rv1026, Rv2673, Rv1198
Rv3235	-	Hypothetical alanine arginine proline rich protein	Non essential	conserved hypotheticals	Rv1187, Rv0005, Rv2816c, Rv1608c, Rv1169c, Rv0220, Rv3155, Rv1264, Rv2428, Rv3565
Rv3236c	-	Probable conserved integral membrane transport protein	Non essential	cell wall and cell processes	Rv2883c, Rv3490, Rv0524, Rv2697c, Rv2611c, Rv1991A, Rv2124c, Rv0510, Rv2523c, Rv0287
Rv3237c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3086, Rv1731, Rv3506, Rv1777, Rv3734c, Rv3089, Rv3480c, Rv1267c, Rv3133c, Rv0802c
Rv3238c	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv3469c, Rv1760, Rv1843c, Rv0015c, Rv2029c, Rv0351, Rv1915, Rv3824c, Rv0598c, Rv0159c
Rv3239c	-	Probable conserved transmembrane transport protein	Growth advantage	cell wall and cell processes	Rv1384, Rv2009, Rv3487c, Rv3080c, Rv2462c, Rv2484c, Rv3607c, Rv2404c, Rv2431c, Rv3059
Rv3240c	secA1	Probable preprotein translocase SecA1 1 subunit	Essential domain	cell wall and cell processes	Rv1259, Rv3358, Rv0982, Rv2865, Rv2919c, Rv0596c, Rv0211, Rv0626, Rv0496, Rv1537
Rv3241c	-	hypothetical protein	Growth advantage	information pathways	Rv1886c, Rv0978c, Rv3109, Rv3119, Rv3826, Rv1745c, Rv1746, Rv0847, Rv3398c, Rv3452
Rv3242c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv2548, Rv3919c, Rv1675c, Rv2149c, Rv0230c, Rv1160, Rv2579, Rv0438c, Rv2112c, Rv2727c
Rv3243c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv0113, Rv0557, Rv1629, Rv1604, Rv3592, Rv0478, Rv1316c, Rv0982, Rv2865, Rv0596c
Rv3244c	lpqB	Probable conserved lipoprotein LpqB	Essential	cell wall and cell processes	Rv3260c, Rv0189c, Rv3246c, Rv3276c, Rv3227, Rv3280, Rv3219, Rv3356c, Rv3248c, Rv1402
Rv3245c	mtrB	Two component sensory transduction histidine kinase MtrB	Growth defect	regulatory proteins	Rv3215, Rv3789, Rv1093, Rv2477c, Rv1600, Rv3221A, Rv1338, Rv0884c, Rv3137, Rv1828
Rv3246c	mtrA	Two component sensory transduction transcriptional regulatory protein MtrA	Essential	regulatory proteins	Rv3260c, Rv3244c, Rv0189c, Rv3276c, Rv3336c, Rv1402, Rv3227, Rv3280, Rv3396c, Rv3137
Rv3247c	tmk	Thymidylate kinase Tmk (dTMP kinase) (thymidylic acid kinase) (TMPK)	Essential	intermediary metabolism and respiration	Rv3356c, Rv3248c, Rv3219, Rv3280, Rv3372, Rv0189c, Rv3396c, Rv3244c, Rv3260c, Rv3255c
Rv3248c	sahH	Probable adenosylhomocysteinase SahH (S-adenosyl-L-homocysteine hydrolase) (adohcyase)	Essential	intermediary metabolism and respiration	Rv3219, Rv3247c, Rv3356c, Rv3280, Rv3372, Rv0189c, Rv3244c, Rv3260c, Rv3423c, Rv3396c
Rv3249c	-	Possible transcriptional regulatory protein (probably TetR-family)	Non essential	regulatory proteins	Rv0864, Rv2427c, Rv1860, Rv3703c, Rv0321, Rv3505, Rv1849, Rv1478, Rv1846c, Rv1712
Rv3250c	rubB	Probable rubredoxin RubB	Non essential	intermediary metabolism and respiration	Rv2007c, Rv0819, Rv0282, Rv3414c, Rv2757c, Rv2043c, Rv1541c, Rv0601c, Rv3444c, Rv1755c
Rv3251c	rubA	Probable rubredoxin RubA	Non essential	intermediary metabolism and respiration	Rv2816c, Rv1608c, Rv1187, Rv0220, Rv2428, Rv1264, Rv3155, Rv1848, Rv3130c, Rv1218c
